Datum;Gewässer;Methode;Gattung;Art;Geschlecht;Anzahl;Fundort;Bearbeiter;Bemerkungen;;;;;;
20.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Fluri;;;;;;;
20.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Fluri;;;;;;;
20.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Fluri;;;;;;;
20.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;3;Kessel;Fluri;;;;;;;
20.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Fluri;;;;;;;
20.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Fluri;;;;;;;
20.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Fluri;;;;;;;
20.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Fluri;;;;;;;
20.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Fluri;;;;;;;
20.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;6;Kessel;Fluri;;;;;;;
20.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;4;Kessel;Fluri;;;;;;;
20.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Fluri;;;;;;;
21.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;3;Kessel;Eichhorn;;;;;;;
21.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Eichhorn;;;;;;;
21.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Eichhorn;;;;;;;
21.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;10;Kessel;Eichhorn;;;;;;;
21.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;3;Kessel;Eichhorn;;;;;;;
21.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;2;Kessel;Eichhorn;;;;;;;
21.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;6;Kessel;Eichhorn;;;;;;;
21.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;3;Kessel;Eichhorn;;;;;;;
21.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Eichhorn;;;;;;;
21.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;13;Kessel;Eichhorn;;;;;;;
21.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;7;Kessel;Eichhorn;;;;;;;
